Number,Count,Percentage
16,60,1.345291479820628
21,54,1.210762331838565
33,66,1.4798206278026906
52,56,1.2556053811659194
70,58,1.3004484304932735
15,59,1.3228699551569507
19,57,1.2780269058295963
27,62,1.390134529147982
35,63,1.4125560538116593
57,62,1.390134529147982
9,58,1.3004484304932735
11,74,1.6591928251121075
34,66,1.4798206278026906
49,62,1.390134529147982
66,62,1.390134529147982
5,51,1.1434977578475336
7,71,1.5919282511210762
46,69,1.547085201793722
69,52,1.1659192825112108
28,71,1.5919282511210762
29,70,1.5695067264573992
58,73,1.6367713004484306
59,58,1.3004484304932735
2,63,1.4125560538116593
47,58,1.3004484304932735
53,66,1.4798206278026906
4,66,1.4798206278026906
17,82,1.8385650224215246
20,76,1.704035874439462
64,59,1.3228699551569507
8,69,1.547085201793722
14,73,1.6367713004484306
31,86,1.9282511210762332
32,55,1.2331838565022422
40,52,1.1659192825112108
22,59,1.3228699551569507
43,58,1.3004484304932735
60,53,1.188340807174888
63,54,1.210762331838565
26,68,1.5246636771300448
42,63,1.4125560538116593
48,63,1.4125560538116593
36,50,1.1210762331838564
45,61,1.3677130044843049
3,68,1.5246636771300448
13,55,1.2331838565022422
51,58,1.3004484304932735
61,51,1.1434977578475336
6,57,1.2780269058295963
25,74,1.6591928251121075
24,69,1.547085201793722
39,62,1.390134529147982
44,70,1.5695067264573992
18,61,1.3677130044843049
38,66,1.4798206278026906
50,58,1.3004484304932735
56,69,1.547085201793722
62,67,1.5022421524663676
68,64,1.4349775784753362
23,52,1.1659192825112108
30,62,1.390134529147982
1,54,1.210762331838565
54,58,1.3004484304932735
55,42,0.9417040358744395
12,56,1.2556053811659194
67,44,0.9865470852017937
37,62,1.390134529147982
65,48,1.0762331838565022
10,72,1.6143497757847534
41,65,1.4573991031390134
73,31,0.695067264573991
74,30,0.672645739910314
75,25,0.5605381165919282
72,20,0.4484304932735426
71,22,0.49327354260089684
